previous-campaign,subscribed,age,education,default,balance,current-campaign,job,marital,housing-loan,personal-loan
7,no,34,unknown,no,1534,1,management,single,yes,no
5,yes,33,secondary,no,139,2,blue-collar,married,yes,yes
1,no,46,tertiary,no,46,1,management,single,no,yes
3,no,34,secondary,no,10,1,admin.,single,no,yes
2,no,49,tertiary,no,780,1,unemployed,divorced,no,no
1,yes,37,tertiary,no,238,1,management,married,no,no
1,no,36,tertiary,no,1531,3,management,single,yes,no
3,no,58,secondary,no,502,2,retired,married,yes,no
3,no,55,secondary,no,0,2,admin.,married,no,no
1,no,34,tertiary,no,171,1,management,single,yes,no
10,no,38,secondary,no,1931,1,technician,married,no,no
6,no,34,secondary,no,2,1,entrepreneur,married,yes,yes
3,no,48,secondary,no,197,2,technician,married,no,yes
2,no,28,secondary,no,769,1,technician,single,yes,no
1,no,36,tertiary,no,6,1,technician,married,yes,no
1,no,53,secondary,no,225,1,admin.,married,yes,no
9,no,38,secondary,no,883,1,admin.,single,yes,no
3,yes,30,tertiary,no,102,7,management,married,yes,no
2,no,33,tertiary,no,490,1,admin.,single,yes,no
3,no,26,secondary,no,512,5,services,single,yes,yes
3,no,36,secondary,no,417,10,services,single,yes,no
2,no,33,secondary,no,661,1,admin.,divorced,yes,no
2,yes,43,secondary,no,3403,2,services,single,yes,no
2,no,42,secondary,no,1491,2,blue-collar,divorced,yes,no
1,no,32,secondary,no,6402,1,technician,single,yes,no
5,no,30,tertiary,no,877,1,management,married,no,no
1,no,40,secondary,no,0,2,technician,married,yes,yes
1,no,26,secondary,no,203,1,student,single,no,no
4,no,52,secondary,no,1818,2,technician,married,no,yes
2,yes,42,secondary,no,1289,4,unemployed,married,no,no
2,yes,73,primary,no,796,1,retired,married,no,no
4,yes,51,secondary,no,117,2,technician,married,no,no
1,no,39,tertiary,no,691,1,management,married,yes,yes
1,yes,35,secondary,no,724,2,management,married,yes,no
1,no,30,secondary,no,-28,2,blue-collar,married,yes,no
2,no,46,primary,no,665,4,blue-collar,married,no,no
4,yes,36,tertiary,no,925,3,management,married,no,no
4,no,26,primary,no,155,1,blue-collar,single,yes,no
10,yes,22,secondary,no,2488,2,student,single,no,no
3,no,32,tertiary,no,1667,2,management,married,yes,no
4,no,50,secondary,no,769,2,admin.,divorced,no,no
6,yes,50,unknown,no,558,1,unknown,married,no,no
7,no,35,secondary,no,1257,3,blue-collar,married,yes,no
3,no,55,unknown,no,23,1,blue-collar,married,no,no
3,no,48,tertiary,no,8106,1,management,single,no,no
1,no,56,primary,no,29,2,entrepreneur,divorced,no,no
1,yes,44,secondary,no,14,1,technician,divorced,no,no
9,yes,31,tertiary,no,4148,3,management,married,yes,no
2,no,49,tertiary,no,377,1,unemployed,married,no,no
5,yes,34,secondary,no,479,1,admin.,divorced,yes,no
1,no,44,secondary,no,1071,3,blue-collar,married,yes,no
1,no,55,secondary,no,865,1,admin.,married,yes,no
2,yes,52,tertiary,no,2557,5,technician,married,no,no
4,no,32,secondary,no,4,2,technician,married,no,no
1,no,36,primary,no,367,1,blue-collar,single,no,no
8,no,36,secondary,no,725,3,admin.,married,yes,no
1,no,45,secondary,no,776,4,blue-collar,married,yes,no
1,no,28,secondary,no,1453,1,technician,single,yes,no
5,no,27,tertiary,no,3672,2,admin.,single,yes,no
4,yes,45,secondary,no,0,1,blue-collar,single,yes,no
2,yes,36,tertiary,no,1133,1,management,married,yes,no
1,no,59,secondary,no,92,2,admin.,married,yes,no
6,yes,27,tertiary,no,3733,1,student,single,yes,no
2,no,46,secondary,no,0,2,admin.,married,yes,yes
1,no,35,tertiary,no,560,1,self-employed,married,yes,no
1,yes,29,tertiary,no,437,1,management,single,no,no
1,no,74,secondary,no,935,1,retired,married,no,no
5,no,57,secondary,no,1521,2,blue-collar,married,yes,yes
7,no,34,tertiary,no,1310,3,management,married,no,no
1,yes,55,tertiary,no,9756,2,management,divorced,yes,no
1,no,37,primary,no,403,2,blue-collar,married,yes,no
4,no,45,secondary,no,809,2,technician,divorced,yes,no
3,no,33,tertiary,no,287,2,management,married,yes,no
4,no,47,unknown,no,677,1,unknown,married,no,no
1,no,47,tertiary,no,477,1,technician,divorced,yes,no
8,yes,32,secondary,no,230,1,technician,single,yes,no
1,no,60,secondary,no,-396,1,admin.,married,yes,no
4,no,34,tertiary,no,1657,2,management,married,yes,no
1,no,39,secondary,no,994,1,technician,married,no,no
8,no,34,secondary,no,1221,1,blue-collar,married,yes,no
2,no,42,secondary,no,2157,1,blue-collar,married,yes,no
1,no,37,primary,no,22856,1,management,married,no,no
4,no,35,secondary,no,5731,2,technician,single,yes,no
2,no,56,secondary,no,1270,2,admin.,married,yes,no
3,no,41,secondary,no,748,7,admin.,single,no,no
4,no,57,secondary,yes,25,1,entrepreneur,divorced,yes,no
3,no,26,secondary,no,96,2,admin.,single,yes,no
2,yes,39,tertiary,no,763,7,management,married,yes,no
1,no,36,tertiary,no,1582,2,management,married,no,no
2,yes,43,secondary,no,699,2,blue-collar,married,yes,yes
2,no,47,primary,no,881,1,blue-collar,married,yes,no
4,yes,38,secondary,no,6728,1,technician,married,no,no
1,no,40,secondary,no,167,4,self-employed,married,yes,yes
1,yes,32,tertiary,no,1625,1,technician,single,no,no
1,no,23,primary,no,8627,1,blue-collar,single,yes,no
2,no,31,tertiary,no,2590,2,management,single,no,no
1,no,61,primary,no,848,1,housemaid,married,no,no
2,no,43,secondary,no,481,1,management,married,yes,no
3,no,32,tertiary,no,697,1,management,single,no,no
1,no,39,tertiary,no,894,1,management,married,yes,no
4,no,37,primary,no,655,2,blue-collar,married,yes,no
1,yes,56,primary,no,694,1,retired,divorced,no,no
6,yes,41,tertiary,no,1646,1,technician,single,yes,no
1,no,29,tertiary,no,14,1,admin.,single,no,no
1,no,39,secondary,no,260,1,admin.,married,yes,no
2,yes,49,secondary,no,2039,1,blue-collar,married,yes,no
2,no,41,unknown,no,88,1,services,married,yes,no
3,no,46,primary,no,147,2,blue-collar,married,yes,no
4,no,36,secondary,no,55,2,technician,married,yes,no
1,no,35,tertiary,no,552,2,management,married,yes,yes
4,no,32,secondary,no,1787,4,blue-collar,married,yes,no
1,yes,31,tertiary,no,12569,1,management,single,no,no
1,no,46,secondary,no,4855,1,blue-collar,married,yes,no
1,no,47,tertiary,no,2408,1,technician,married,no,no
1,no,37,secondary,no,346,1,blue-collar,married,yes,no
3,no,38,tertiary,no,1514,3,entrepreneur,married,no,yes
4,yes,38,secondary,no,2543,1,entrepreneur,single,no,no
1,no,56,primary,no,828,1,blue-collar,married,yes,no
5,no,47,secondary,no,3940,2,housemaid,married,yes,no
1,no,37,secondary,no,7,7,admin.,married,yes,no
9,yes,60,secondary,no,3735,1,admin.,married,no,no
1,no,44,secondary,no,508,1,blue-collar,married,yes,no
1,no,48,unknown,no,0,1,management,married,yes,no
2,no,43,primary,no,60,2,blue-collar,married,no,no
1,no,37,secondary,no,342,2,blue-collar,married,yes,no
11,no,36,tertiary,no,1830,1,blue-collar,single,no,no
2,no,38,tertiary,no,16957,1,management,single,yes,no
8,yes,40,tertiary,no,0,1,management,married,no,no
1,yes,50,secondary,no,-54,2,technician,divorced,yes,yes
3,no,55,tertiary,no,4809,2,unemployed,married,yes,no
2,yes,34,secondary,no,2374,1,admin.,married,yes,no
2,no,32,secondary,no,92,1,admin.,single,yes,no
1,no,40,primary,no,1397,2,blue-collar,married,yes,no
2,no,35,secondary,no,414,5,services,single,yes,no
5,no,38,secondary,no,4030,2,technician,married,yes,no
1,no,52,secondary,no,0,2,admin.,married,no,no
3,yes,43,tertiary,no,1696,1,management,single,yes,no
5,no,34,secondary,no,856,1,blue-collar,married,yes,no
6,no,34,secondary,no,347,2,technician,single,yes,no
3,yes,31,secondary,no,2544,1,technician,single,no,no
2,no,46,tertiary,no,523,4,management,married,yes,no
3,no,56,secondary,no,3948,1,retired,married,no,no
1,no,66,primary,no,747,3,retired,married,no,no
3,no,39,tertiary,no,585,1,self-employed,married,yes,no
1,no,28,secondary,no,232,1,technician,married,yes,yes
2,no,53,tertiary,no,451,1,self-employed,married,yes,no
4,no,47,secondary,no,8515,7,self-employed,divorced,yes,no
4,yes,32,secondary,no,678,1,admin.,single,yes,no
2,no,45,secondary,no,976,1,technician,divorced,yes,no
1,no,36,secondary,no,1927,1,admin.,single,yes,no
1,no,75,secondary,no,6053,2,blue-collar,married,no,no
1,no,35,secondary,no,725,7,admin.,married,yes,no
2,no,50,secondary,no,806,8,entrepreneur,married,yes,yes
3,no,55,tertiary,no,481,2,management,divorced,yes,no
5,yes,28,secondary,no,4745,1,admin.,single,no,no
5,no,33,secondary,no,331,7,blue-collar,married,yes,no
2,yes,79,primary,no,8556,2,retired,married,no,no
3,no,77,primary,no,680,4,retired,married,no,no
3,no,29,secondary,no,22171,1,admin.,married,yes,no
7,no,56,tertiary,no,856,4,management,married,yes,yes
1,no,32,secondary,no,53,1,blue-collar,single,yes,no
9,no,43,primary,no,2519,2,blue-collar,married,yes,no
1,yes,52,secondary,no,2087,1,blue-collar,married,yes,no
1,no,27,tertiary,no,390,1,management,single,no,no
3,yes,54,tertiary,no,876,3,technician,married,no,no
6,yes,36,tertiary,no,495,3,management,married,no,no
3,no,45,primary,no,542,5,admin.,married,no,no
2,no,35,tertiary,no,24,1,management,married,yes,no
1,no,45,secondary,no,192,5,blue-collar,married,yes,no
4,no,35,secondary,no,262,2,blue-collar,married,no,no
15,no,44,secondary,no,5045,6,services,single,yes,no
1,no,59,primary,no,0,2,entrepreneur,married,no,no
3,no,33,secondary,no,1279,2,technician,single,yes,no
1,no,30,secondary,no,127,6,admin.,single,yes,no
1,no,32,secondary,no,202,1,technician,divorced,yes,no
3,yes,28,tertiary,no,442,3,self-employed,single,no,no
1,no,27,tertiary,no,808,1,technician,single,yes,no
2,no,38,tertiary,no,427,3,management,single,yes,no
1,yes,60,tertiary,no,4256,3,services,married,yes,no
5,no,52,secondary,no,238,1,services,divorced,yes,no
3,yes,64,tertiary,no,846,1,retired,married,no,no
6,no,35,tertiary,no,980,2,self-employed,married,no,no
2,yes,33,tertiary,no,79,2,admin.,married,yes,no
2,yes,25,tertiary,no,808,2,management,single,no,no
1,yes,53,unknown,no,2240,2,management,married,yes,no
4,no,31,tertiary,no,22546,6,management,married,yes,no
9,no,29,secondary,no,228,8,blue-collar,married,yes,no
6,no,40,secondary,no,-378,1,services,married,yes,yes
3,no,55,secondary,no,865,1,admin.,married,yes,no
2,no,31,secondary,no,389,1,admin.,married,yes,no
6,no,34,secondary,no,1847,3,entrepreneur,married,yes,no
1,no,57,secondary,no,4664,4,services,divorced,no,no
2,no,31,tertiary,no,64,1,student,single,no,no
7,no,49,tertiary,no,-471,3,unemployed,married,yes,no
1,no,33,secondary,no,26,3,blue-collar,married,yes,no
4,no,45,unknown,no,2033,1,admin.,married,no,no
2,no,56,unknown,no,789,1,admin.,divorced,yes,no
3,no,33,secondary,no,142,1,blue-collar,single,yes,no
2,no,37,unknown,no,897,2,blue-collar,married,yes,no
3,yes,38,tertiary,no,0,3,unknown,single,no,no
5,yes,46,secondary,no,4,1,services,married,no,no
3,no,40,tertiary,no,502,4,management,divorced,yes,no
6,no,38,tertiary,no,8669,3,management,single,yes,no
2,no,45,secondary,no,72,2,admin.,married,yes,yes
4,no,60,secondary,no,2552,2,admin.,married,no,yes
24,no,40,primary,no,2077,1,self-employed,married,yes,no
1,no,41,primary,no,7735,1,blue-collar,married,yes,no
2,no,58,secondary,no,139,1,management,married,no,no
3,no,29,tertiary,no,21,4,management,single,yes,no
5,no,34,secondary,no,5320,6,admin.,married,no,no
1,no,38,secondary,no,8876,1,services,married,no,no
2,no,34,secondary,no,360,1,blue-collar,married,yes,no
1,no,52,secondary,no,199,2,admin.,married,no,no
17,no,46,primary,no,1291,3,blue-collar,married,yes,no
1,no,40,secondary,no,0,1,unemployed,married,yes,no
1,no,40,tertiary,no,7780,1,management,married,no,no
2,no,30,secondary,no,-559,1,management,married,yes,yes
1,no,39,unknown,no,98,3,entrepreneur,married,yes,no
1,no,36,tertiary,no,-679,1,management,single,yes,yes
1,yes,58,secondary,no,462,1,services,divorced,no,no
5,yes,32,tertiary,no,883,1,management,divorced,yes,no
4,no,39,secondary,no,31,2,self-employed,married,yes,no
6,no,54,secondary,no,0,2,technician,married,no,no
6,no,32,tertiary,no,347,1,management,single,yes,no
9,no,31,secondary,no,0,1,technician,married,yes,yes
1,yes,33,secondary,no,2411,1,services,divorced,yes,no
1,no,46,tertiary,no,225,1,management,divorced,yes,no
5,no,50,tertiary,no,112,5,management,married,yes,no
1,no,47,secondary,no,1544,1,admin.,single,yes,no
4,no,39,secondary,no,6,3,technician,married,yes,no
1,no,39,secondary,no,-650,2,admin.,married,no,no
9,no,50,tertiary,no,78,3,management,married,yes,no
1,no,34,tertiary,no,0,1,housemaid,married,no,no
3,no,31,tertiary,no,1384,2,management,married,yes,no
4,no,46,secondary,no,-1400,3,blue-collar,married,yes,no
1,yes,43,secondary,no,2160,1,blue-collar,married,no,no
1,no,27,secondary,no,842,1,technician,single,no,no
1,yes,38,unknown,no,3576,2,management,married,no,no
8,no,42,primary,no,1628,1,blue-collar,single,yes,no
2,no,70,secondary,no,1164,3,retired,married,no,no
5,no,50,tertiary,no,356,2,management,divorced,no,no
4,no,50,tertiary,no,202,1,self-employed,married,yes,no
3,no,34,secondary,no,114,1,technician,married,yes,yes
1,no,36,tertiary,no,629,1,technician,married,yes,yes
2,no,27,secondary,no,268,1,student,single,yes,no
1,no,58,secondary,no,2223,2,admin.,single,no,no
1,yes,29,secondary,no,1070,1,admin.,single,yes,no
1,no,30,tertiary,no,2,1,management,single,no,no
8,no,33,unknown,no,5969,2,student,single,no,no
5,yes,26,secondary,no,1347,6,services,single,no,no
4,no,26,secondary,no,5533,2,services,single,yes,no
3,no,42,secondary,no,30,1,admin.,single,yes,no
3,no,39,tertiary,no,0,4,management,single,yes,no
22,no,43,tertiary,no,497,1,management,divorced,no,no
2,yes,30,tertiary,no,305,1,admin.,single,no,no
1,no,29,tertiary,no,858,7,technician,married,yes,no
1,yes,80,primary,no,0,1,housemaid,married,no,no
3,yes,31,tertiary,no,1331,1,management,married,no,no
2,no,57,primary,no,179,1,admin.,divorced,yes,no
8,no,51,tertiary,no,5108,1,management,married,yes,no
5,no,42,primary,no,-97,4,blue-collar,married,yes,no
2,no,43,tertiary,no,489,1,management,married,yes,no
8,no,34,tertiary,no,263,1,self-employed,married,no,no
2,no,35,tertiary,no,434,1,management,divorced,yes,no
2,no,37,secondary,no,1040,1,housemaid,divorced,yes,no
3,no,52,secondary,no,424,1,retired,married,no,no
1,yes,42,secondary,no,-247,1,admin.,single,yes,yes
1,no,50,tertiary,no,-470,2,management,married,yes,no
2,no,79,unknown,no,2628,7,retired,divorced,no,no
2,no,39,secondary,no,116,2,technician,married,no,no
1,no,33,secondary,no,3975,1,blue-collar,single,yes,yes
2,no,42,secondary,no,96,3,services,married,yes,no
1,yes,55,secondary,no,3450,1,technician,divorced,no,no
2,no,46,tertiary,no,334,6,management,single,yes,no
1,no,41,tertiary,no,3355,2,management,divorced,no,no
1,no,43,unknown,no,3274,1,unemployed,single,yes,no
4,no,30,tertiary,no,2325,3,technician,single,no,no
1,no,31,secondary,no,1664,1,blue-collar,married,yes,no
5,no,31,tertiary,no,623,2,management,married,yes,no
1,no,32,secondary,no,3540,1,admin.,married,yes,no
7,yes,53,secondary,no,765,3,services,divorced,yes,no
2,no,31,unknown,no,-120,3,blue-collar,married,yes,no
1,no,34,tertiary,no,8038,3,management,single,yes,no
1,no,36,secondary,no,189,1,self-employed,married,yes,no
2,yes,29,tertiary,no,19,2,housemaid,single,no,no
2,yes,50,primary,no,341,4,unknown,married,yes,yes
3,yes,39,secondary,no,607,2,admin.,married,yes,no
1,no,26,tertiary,no,1274,1,management,single,yes,no
1,no,51,primary,no,377,4,blue-collar,married,yes,no
2,no,26,secondary,no,802,1,admin.,single,no,no
1,no,36,tertiary,no,649,2,management,divorced,no,no
2,yes,26,tertiary,no,294,1,student,single,no,no
2,no,57,secondary,no,169,1,admin.,married,no,no
1,no,36,tertiary,no,506,1,self-employed,married,no,no
1,yes,47,tertiary,no,4402,1,management,single,no,no
1,yes,31,primary,no,459,1,services,divorced,yes,no
4,yes,36,primary,no,1177,1,blue-collar,married,no,no
1,no,48,secondary,no,1143,1,blue-collar,married,yes,no
6,no,57,primary,no,-464,1,retired,married,yes,no
3,no,54,unknown,no,0,5,housemaid,married,no,no
9,yes,51,secondary,no,1679,1,retired,divorced,no,no
3,yes,47,secondary,no,3676,1,admin.,married,no,no
4,yes,25,tertiary,no,-242,4,management,married,yes,yes
1,no,45,secondary,no,1757,3,services,single,yes,no
2,no,50,secondary,no,246,1,technician,single,yes,no
1,no,44,primary,no,887,2,blue-collar,married,yes,no
3,no,50,secondary,no,2061,2,self-employed,married,yes,yes
2,no,48,tertiary,yes,-13,6,management,married,yes,no
4,yes,66,tertiary,no,1948,1,retired,married,no,no
1,no,43,secondary,no,24,1,blue-collar,single,no,no
5,no,43,primary,no,188,3,blue-collar,married,yes,no
1,no,44,tertiary,no,724,2,management,married,yes,no
1,no,53,secondary,no,26,1,admin.,divorced,yes,no
2,no,55,primary,no,1086,1,blue-collar,married,yes,no
1,yes,38,secondary,no,70,3,housemaid,divorced,no,no
5,no,43,secondary,no,0,8,technician,married,yes,yes
1,no,38,secondary,no,0,1,blue-collar,divorced,yes,no
2,no,40,secondary,no,4441,2,technician,married,yes,no
2,no,71,tertiary,no,353,1,unknown,married,no,no
1,no,30,tertiary,no,1185,1,technician,single,yes,no
1,no,32,secondary,no,2,9,blue-collar,married,yes,no
1,no,40,secondary,no,9374,8,services,married,yes,no
2,no,31,secondary,no,360,1,admin.,divorced,no,no
5,no,28,secondary,no,1532,1,technician,single,no,no
3,no,29,tertiary,no,1673,2,management,single,no,no
1,no,70,secondary,no,616,2,retired,married,no,no
4,no,36,secondary,no,3064,3,services,married,yes,no
2,no,31,secondary,no,481,2,services,single,yes,no
3,no,28,secondary,no,12,3,admin.,married,yes,no
2,no,51,tertiary,no,176,1,management,married,yes,yes
1,no,53,primary,no,53,1,blue-collar,married,yes,no
23,no,40,primary,no,2805,6,blue-collar,married,yes,no
5,no,51,tertiary,no,1612,1,management,married,no,no
1,yes,32,secondary,yes,-53,1,blue-collar,married,yes,no
4,yes,69,tertiary,no,2144,1,retired,single,no,no
2,no,26,tertiary,no,37,1,entrepreneur,married,yes,yes
1,no,34,tertiary,no,436,1,management,married,yes,no
1,no,33,secondary,no,647,1,technician,single,yes,yes
1,no,50,primary,no,2142,2,blue-collar,married,yes,no
3,no,33,secondary,no,358,1,services,single,yes,no
1,no,32,tertiary,no,473,2,management,single,yes,no
2,no,37,tertiary,no,0,4,management,married,no,no
4,no,33,tertiary,no,8023,1,technician,married,no,no
7,no,21,secondary,no,6844,3,student,single,no,no
14,yes,53,secondary,no,94,1,unemployed,married,no,no
2,yes,57,secondary,no,1044,1,retired,married,no,no
1,no,35,secondary,no,221,1,services,divorced,yes,no
1,no,27,tertiary,no,-148,3,student,single,yes,no
4,no,52,tertiary,no,0,3,technician,married,no,no
4,no,31,tertiary,no,1130,3,management,single,yes,no
2,yes,48,secondary,no,480,1,blue-collar,married,yes,no
1,no,36,secondary,no,-872,1,unemployed,married,yes,yes
1,no,37,secondary,no,33,2,blue-collar,divorced,yes,no
6,no,40,secondary,no,260,1,student,married,no,no
4,no,57,secondary,no,589,1,technician,married,yes,no
6,yes,30,secondary,no,-522,2,technician,single,yes,yes
1,yes,37,secondary,no,1978,1,unemployed,married,no,no
1,no,53,secondary,no,459,6,admin.,married,no,no
1,yes,69,unknown,no,426,1,retired,married,no,no
4,yes,62,tertiary,no,6,1,self-employed,divorced,yes,no
6,yes,38,secondary,no,-242,3,technician,single,yes,no
1,no,33,tertiary,no,201,1,management,single,yes,no
2,no,58,secondary,no,3382,2,retired,married,no,yes
1,yes,59,secondary,no,2308,1,technician,married,no,no
1,no,50,tertiary,no,199,2,technician,married,yes,yes
7,no,35,secondary,no,147,1,admin.,married,yes,yes
1,yes,52,secondary,no,335,1,management,married,no,no
2,no,54,secondary,no,641,1,self-employed,married,yes,no
3,no,40,tertiary,no,35,4,services,married,no,no
1,no,40,secondary,no,1547,2,services,single,yes,no
1,no,30,secondary,no,20,6,services,single,yes,no
3,no,31,secondary,no,1626,2,technician,single,no,no
1,no,70,secondary,no,6850,3,retired,divorced,no,no
3,no,83,primary,no,0,1,retired,divorced,no,no
3,no,50,tertiary,no,100,1,management,divorced,yes,yes
1,no,27,secondary,no,8366,2,student,single,no,no
1,yes,73,unknown,no,519,1,retired,married,no,no
1,no,47,secondary,no,2548,1,blue-collar,married,yes,no
1,no,51,primary,no,40,1,blue-collar,married,yes,no
2,no,32,secondary,no,0,2,admin.,married,yes,yes
2,no,40,secondary,no,697,2,technician,married,no,no
1,no,38,secondary,no,13156,4,blue-collar,single,yes,no
2,no,54,secondary,no,1012,3,services,divorced,yes,no
2,no,30,secondary,no,4787,1,technician,single,yes,no
4,no,31,secondary,no,3653,1,blue-collar,married,yes,yes
2,no,41,primary,no,0,1,retired,single,no,no
25,no,35,secondary,no,305,7,blue-collar,married,yes,no
1,no,65,primary,no,493,1,retired,married,no,no
2,no,45,secondary,no,999,6,technician,married,yes,no
1,yes,45,tertiary,no,2048,1,management,single,yes,no
2,no,48,unknown,no,439,1,blue-collar,married,yes,no
1,yes,40,tertiary,no,-17,1,management,married,yes,yes
1,no,35,secondary,no,175,1,technician,single,yes,no
2,no,31,secondary,no,4888,4,technician,single,yes,no
2,yes,49,primary,no,2146,2,blue-collar,single,yes,no
2,no,35,secondary,no,5304,1,blue-collar,married,yes,no
1,no,37,primary,no,3953,2,management,married,yes,no
1,yes,29,tertiary,no,572,1,management,single,no,no
11,no,31,secondary,no,223,1,admin.,single,yes,no
4,no,33,secondary,no,920,1,technician,single,yes,no
4,yes,38,tertiary,no,623,4,management,single,no,no
2,no,33,secondary,no,4790,1,technician,married,yes,no
5,no,53,primary,no,238,2,blue-collar,married,yes,no
1,no,31,secondary,no,315,1,unemployed,single,no,no
3,no,45,tertiary,no,6945,5,management,married,no,no
3,no,32,secondary,no,309,1,technician,single,yes,yes
4,yes,42,secondary,no,1080,3,blue-collar,single,yes,yes
1,no,38,secondary,no,1205,4,blue-collar,married,yes,no
3,no,28,secondary,no,1137,4,blue-collar,married,no,no
7,no,44,tertiary,no,1136,2,entrepreneur,single,yes,yes
